kp|imdb|filmCritics|russianFilmCritics|await|id|name
8.805|8.5|6.8|100|0|535341|1+1
8.537|7.8|6.5|86.3636|97.92|1143242|Джентльмены
7.961|8.2|7.8|77.4194|96.62|462682|Волк с Уолл-стрит
7.579|7.1|6.3|72.973|98.09|1318972|Гнев человеческий
8.289|7.8|7.6|0|0|41519|Брат
8.275|7.7|5.8|0|0|8124|Один дома
7.968|7.9|7.4|75|85.93|251733|Аватар
8.662|8.8|8.1|80.9524|87.61|447301|Начало
9.108|9.3|8.4|0|0|326|Побег из Шоушенка
8.317|8|8.1|100|95.49|775276|Зверополис
8.785|8.2|0|0|0|42664|Иван Васильевич меняет профессию
9.071|8.6|6.8|0|0|435|Зеленая миля
8.373|8.1|7.1|0|0|4374|Пираты Карибского моря: Проклятие Черной жемчужины
8.98|9.2|0|90|90.77|464963|Игра престолов
8.618|8.6|7.1|80.6452|97.55|258687|Интерстеллар
8.261|7.6|7.1|0|0|689|Гарри Поттер и философский камень
8.079|7.9|8.3|90|98.96|1188529|Достать ножи
8.174|7.7|0|0|0|41520|Брат 2
8.986|9.1|0|87.5|0|685246|Рик и Морти
8.916|8.8|7.5|0|0|448|Форрест Гамп
8.707|8.5|0|0|0|42782|Операция «Ы» и другие приключения Шурика
8.654|8.8|7.4|0|0|361|Бойцовский клуб
8.397|8.2|7.2|93.75|99.09|1108577|Зеленая книга
8.51|8.2|6.7|85.7143|78.65|397667|Остров проклятых
8.058|8.4|7.6|86.3636|92.37|843649|Мстители: Война бесконечности
8.286|8|0|0|0|45146|Любовь и голуби
8.382|7.9|8|0|0|2213|Титаник
6.897|6.6|4.5|38.8889|94.6|463634|Веном
8.479|7.4|0|71.4286|93.68|1100777|Триггер
7.843|8.4|8.2|70.5882|92.33|843650|Мстители: Финал
8.231|7.6|0|0|81.25|820638|Мажор
7.44|0|0|78.5714|88.74|5079093|Монастырь
7.515|7.5|7.3|94.7368|95.79|409600|Доктор Стрэндж
8.641|8.9|9.2|100|0|342|Криминальное чтиво
7.673|8|7.6|72|96.96|409424|Дюна
7.84|8|7.8|83.3333|95.04|689066|Стражи Галактики
8.497|8.7|7.8|60|0|301|Матрица
7.989|7.4|6.4|75|85.59|462606|Области тьмы
8.519|9|8.6|45.4545|0|111543|Темный рыцарь
8.042|8.1|8.5|100|0|89514|Рататуй
7.893|8|8.1|83.3333|93.78|263531|Мстители
8.706|8.6|0|0|0|46483|Ну, погоди!
8.231|8.4|8|88.2353|92.92|586397|Джанго освобожденный
7.184|6.9|5.9|76.9231|96.09|839954|Легенда
8.525|8.1|7.9|80|0|324|Поймай меня, если сможешь
8.541|8.4|0|0|0|44386|Джентльмены удачи
8.775|8.5|8.5|0|0|2360|Король Лев
8.107|7.9|7.8|0|0|430|Шрэк
7.558|8|7.1|100|95.11|462360|Дэдпул
8.719|8.4|8.3|94.1176|97.51|679486|Тайна Коко
8.244|8.1|7.8|81.8182|96.61|835086|Ford против Ferrari
8.063|7.6|6.2|100|83.06|420923|Шерлок Холмс
8.513|8.3|0|0|0|46225|Бриллиантовая рука
8.602|8.8|8.2|71.4286|0|328|Властелин колец: Братство Кольца
8.359|8.4|8.6|93.3333|0|279102|ВАЛЛ·И
8.582|8.5|7.4|50|0|474|Гладиатор
8.644|8.5|8.8|0|0|476|Назад в будущее
7.758|8|7.9|95.2381|97.82|841700|Марсианин
8.462|8.3|0|0|0|44745|Кавказская пленница, или Новые приключения Шурика
8.669|8.5|6.9|0|0|389|Леон
8.219|7.9|7.9|80|0|322|Гарри Поттер и узник Азкабана
8.136|7.3|6|0|0|63991|Пираты Карибского моря: Сундук мертвеца
7.714|7.2|5.8|60|96.42|522892|Иллюзия обмана
7.958|7.9|7.7|100|0|61237|Железный человек
8.519|8.5|7.1|33.3333|0|195334|Престиж
7.665|6.4|0|50|94.9|1355059|Беспринципные
8.861|9.1|0|75|0|502838|Шерлок
7.835|8|6.7|92.3077|98.63|1387021|Лига справедливости Зака Снайдера
8.121|7.4|7.2|0|0|688|Гарри Поттер и Тайная комната
8.633|7.8|0|100|0|32898|Достучаться до небес
7.959|8.1|8|96.2963|96.18|692861|Исчезнувшая
6.763|6.7|0|60|81.45|1183582|Холоп
8.418|8.1|4.8|0|0|46708|Москва слезам не верит
7.389|7.1|7|85.7143|95.15|1199100|Главный герой
8.073|8.2|8.9|87.5|94.95|645118|Головоломка
7.458|7.4|6.8|92.5926|92.89|538225|Первому игроку приготовиться
7.979|8.3|7.8|80|83.74|9691|Бесславные ублюдки
8|7.4|4.4|20|71.23|406408|Законопослушный гражданин
8.219|8.1|7.9|100|68.42|280172|Как приручить дракона
8.654|9|8.7|100|0|3498|Властелин колец: Возвращение короля
8.376|8|8.3|77.2727|96.86|775273|Душа
8.149|8.1|8.3|83.3333|82.85|407636|Гарри Поттер и Дары Смерти: Часть II
7.978|8.4|7.3|89.6552|96.44|1048334|Джокер
8.105|7.6|6.4|66.6667|0|2656|Пятый элемент
